key,a,b,c,d,e,f,g,h,i
9_x,-0.0009648539825119731,0.00014632237895256394,-9.645522191594902e-06,2.836309407976677e-07,-4.315696851907628e-09,3.551290353661073e-11,-1.501523045494008e-13,2.559000786552881e-16,0.5687613522149046
9_y,0.0015661437434256525,-0.00011797341705795726,-1.134359731552591e-06,2.9058148045457465e-07,-7.4093863703744e-09,7.809741728890181e-11,-3.7858701346285403e-13,6.987986934849107e-16,0.5590781606085682
9_z,-0.0005102712044259034,-4.087787133687225e-05,5.129861998203415e-06,-1.7383793773779276e-07,2.819832575775626e-09,-2.4303493837838996e-11,1.0732337701702719e-13,-1.911522129752703e-16,0.018159166904149773
10_x,-0.0006153716181072703,0.00011699199725627503,-9.205100302495697e-06,2.983999333485035e-07,-4.805696830920558e-09,4.093728572842758e-11,-1.7695357889064458e-13,3.0607686888709654e-16,0.43167355504075394
10_y,0.0018981068877000039,-0.0001549597828309114,8.155004288704978e-08,2.765136023185813e-07,-7.412499699224734e-09,7.936141493533351e-11,-3.876757495049357e-13,7.1897268435383825e-16,0.5627526499712232
10_z,0.0004851533527065516,4.355289603296352e-05,-5.289020647979207e-06,1.7854306213590734e-07,-2.893867514300398e-09,2.4940285343650127e-11,-1.1015232640657894e-13,1.9622751108209203e-16,-0.01799286044006117
11_x,0.0018959398384385269,-0.0005105779795371593,3.604067619948078e-05,-1.0239368842764273e-06,1.5160513921787578e-08,-1.2454797886144921e-10,5.376527736000647e-13,-9.494616658168733e-16,0.5881255074523165
11_y,0.0017414975842465893,-0.00024415895908414106,1.3135557310413385e-05,-3.1113480049879944e-07,3.965678923372593e-09,-2.9018922185340843e-11,1.1583012140433841e-13,-1.9551155435650327e-16,0.7030064359230191
11_z,0.01456004417365183,-0.00043493815403584154,-2.044646365054614e-05,8.866966105627375e-07,-1.483075284407789e-08,1.3639245154797601e-10,-6.698094572471996e-13,1.3468962687835888e-15,-0.06708121062871335
12_x,-0.0010452084213947656,0.00024367900034130555,-1.792473242353168e-05,5.316165472251444e-07,-8.170132133974252e-09,6.916092047153295e-11,-3.053972022374103e-13,5.483048930862986e-16,0.4214949029910973
12_y,0.0026685831010613025,-0.0003360524979333175,1.563020666618096e-05,-3.148538407297149e-07,3.2987160566712372e-09,-1.9425040284224613e-11,6.317463370071428e-14,-9.121790572210914e-17,0.716550189081395
12_z,0.0021391040971137543,0.0009033397513140947,-7.567273337645629e-05,1.9798281987637905e-06,-2.656908620021162e-08,2.0764396940647071e-10,-9.042329160680759e-13,1.6784895164227924e-15,-0.024766672898135434
13_x,-0.0001427389594548402,4.54276083102439e-06,-5.873014496927085e-07,3.623687893078129e-08,-8.397613912583789e-10,9.069370343305095e-12,-4.652610691918285e-14,9.177321940329318e-17,0.6117064915319128
13_y,0.00048772290485271305,-5.946618008405204e-05,2.709833273573044e-06,-6.261705024473977e-08,8.317237636753217e-10,-6.46488710328193e-12,2.725763098429932e-14,-4.7909879710371e-17,0.841695496217647
13_z,0.006239777457304297,0.0003984799561847739,-4.595165162288523e-05,1.4659412135648506e-06,-2.3465213571188986e-08,2.0736690375260667e-10,-9.597109284745953e-13,1.8062046695029336e-15,0.11718531449036568
14_x,-0.00037213450534285153,2.160580318197781e-05,5.600002115165236e-08,-3.040711170846405e-08,7.945970161683158e-10,-8.712913549241522e-12,4.438320685495835e-14,-8.647639611637086e-17,0.4222843247058261
14_y,6.11948328511763e-05,-1.7858518448750203e-05,7.338678805192056e-07,-1.131827626537408e-08,6.867759968510692e-11,-1.054145965546596e-14,-1.4555155562168846e-15,4.043702800282442e-18,0.8561614254675876
14_z,0.005476063034881331,0.0005100970093825664,-5.5577827754679924e-05,1.7904186657408537e-06,-2.9272504092020515e-08,2.6503917460786706e-10,-1.2552447679992921e-12,2.410769283490535e-15,0.13576229133119944
15_x,-0.0002625455806690258,4.2977698841053235e-05,-3.6763876051059616e-06,1.3475786022391977e-07,-2.447241853935149e-09,2.326320453430345e-11,-1.1088035753192836e-13,2.0903994333102412e-16,0.5908728028681617
